Date,E-mail campaigns,Websites
2012-10-01,23365,51232
2012-11-01,24563,46002
2012-12-01,28195,45628
2013-01-01,28850,46066
2013-02-01,25385,35024
2013-03-01,19892,36983
2013-04-01,20086,36480
2013-05-01,18297,44511
2013-06-01,14698,38110
2013-07-01,61453,49480
2013-08-01,61792,48758
2013-09-01,56767,45115
2013-10-01,55241,31876
2013-11-01,53047,37007
2013-12-01,52489,42890
2014-01-01,53984,42828
2014-02-01,56883,38175
2014-03-01,60925,44212
2014-04-01,57733,41759
2014-05-01,60809,44407
2014-06-01,53259,42212
2014-07-01,55282,40272
2014-08-01,54390,29609
2014-09-01,53661,22592
2014-10-01,68270,15246
2014-11-01,66217,14528
2014-12-01,62765,17320
2015-01-01,49608,31064
2015-02-01,55795,34749
2015-03-01,115808,70534
2015-04-01,142099,85803
2015-05-01,149616,90060
2015-06-01,125757,77144
2015-07-01,142155,87564
2015-08-01,146439,88976
2015-09-01,146439,64600
2015-10-01,194499,48114
2015-11-01,105233,44575
2015-12-01,80548,65885
2016-01-01,99384,86557
2016-02-01,229315,79259
2016-03-01,229265,123555
2016-04-01,121028,158988
2016-05-01,96490,148295
2016-06-01,98006,158782
2016-07-01,93160,155102
2016-08-01,66166,104349
2016-09-01,69925,104973
2016-10-01,51153,89232
2016-11-01,64324,118928
2016-12-01,95555,69533
2017-01-01,96148,42889
2017-02-01,100932,50567
2017-03-01,121860,51265
2017-04-01,87453,50328
2017-05-01,93285,45327
2017-06-01,92657,50720
2017-07-01,99024,60232
2017-08-01,99172,73393
2017-09-01,98012,57317
2017-10-01,61322,65509
2017-11-01,86547,54322
2017-12-01,85744,60926
2018-01-01,89250,60887
2018-02-01,89010,88754
2018-03-01,84444,113897
2018-04-01,91054,100382
2018-05-01,82547,81257
2018-06-01,90882,51401
2018-07-01,93078,52613
2018-08-01,89323,44855
2018-09-01,88156,53546
2018-10-01,87619,56815
2018-11-01,64905,35719
2018-12-01,87386,45794
2019-01-01,34630,48663
2019-02-01,35364,50983
2019-03-01,42399,81122
2019-04-01,37054,59756
2019-05-01,40177,61820
2019-06-01,34932,60889
